iter	R2	RMSE
120	0.9909442559	1.104458133
121	0.9910926115	1.095373883
122	0.9912438525	1.086034746
123	0.991377127	1.077737959
124	0.991547599	1.067031478
125	0.9916967864	1.057572847
126	0.9918293904	1.049094028
127	0.9919788504	1.039454526
128	0.9921036471	1.031336669
129	0.9922182522	1.023825071
130	0.9923539423	1.014859614
131	0.9924803699	1.006434292
132	0.9925937773	0.9988161801
133	0.9927229431	0.9900681053
134	0.9928170323	0.9836467062
135	0.9929419152	0.9750583867
136	0.9930583352	0.9669833713
137	0.9931569418	0.9600907895
138	0.9932767001	0.9516525755
139	0.9933699299	0.9450314132
140	0.9934711128	0.9377925272
141	0.9935549855	0.931749426
142	0.9936425371	0.9253991659
143	0.9937233618	0.919497881
144	0.9938233419	0.9121451804
145	0.9939217084	0.9048528315
146	0.993996556	0.8992644313
147	0.9940747767	0.8933868308
148	0.9941618996	0.8867944515
149	0.9942508446	0.8800132487
150	0.9943348719	0.8735586192
151	0.9944072831	0.8679577848
152	0.9944785843	0.8624072681
153	0.9945660434	0.8555497482
154	0.9946512924	0.8488122048
155	0.9947188771	0.8434324842
156	0.9947975766	0.8371244597
157	0.9948719503	0.8311191645
158	0.9949278699	0.8265752132
159	0.9950001312	0.8206660918
160	0.9950512346	0.816461329
161	0.9951184458	0.8108980267
162	0.9951828974	0.8055270565
163	0.9952672142	0.7984461078
164	0.9953275691	0.7933386828
165	0.9953741744	0.7893721774
166	0.9954542119	0.7825133951
167	0.9955200934	0.7768222679
168	0.9955783779	0.7717524123
169	0.9956413166	0.7662400509
170	0.9957103533	0.7601476342
171	0.9957693919	0.7548985368
172	0.9958145657	0.7508573735
173	0.9958783752	0.7451117503
174	0.9959311928	0.7403221448
175	0.9959825577	0.7356343703
176	0.9960353057	0.7307890655
177	0.9960816682	0.7265036318
178	0.9961230318	0.7226588136
179	0.9961884051	0.716540189
180	0.9962425159	0.7114358747
181	0.9962961278	0.7063422497
182	0.9963390624	0.7022364158
183	0.996371916	0.6990783473
184	0.9964074491	0.695646575
185	0.9964419353	0.6922996427
186	0.9964880938	0.6877944099
187	0.9965206715	0.6845968643
188	0.9965577005	0.6809441829
189	0.9965865083	0.6780888656
190	0.996625473	0.6742075959
191	0.996662051	0.670543617
192	0.9967178173	0.6649187212
193	0.9967466892	0.6619877702
194	0.9967897552	0.6575916022
195	0.9968461167	0.6517934526
196	0.9968845483	0.6478100682
197	0.9969171228	0.6444144895
198	0.9969429433	0.6417101842
199	0.9969701513	0.6388481688
200	0.9969910847	0.6366374232
201	0.9970240808	0.633137082
202	0.997055208	0.6298171749
203	0.9970933889	0.6257208873
204	0.9971341136	0.6213219151
205	0.9971682824	0.6176069276
206	0.9971974068	0.6144226549
207	0.9972262763	0.6112498727
208	0.9972529654	0.6083020062
209	0.9972770373	0.6056309143
210	0.9973067494	0.602317621
211	0.9973314294	0.5995515577
212	0.9973530669	0.5971159458
213	0.9973842718	0.5935857827
214	0.997395386	0.5923233735
215	0.9974178051	0.58976867
216	0.9974474376	0.5863749007
217	0.9974820183	0.582389408
218	0.997507653	0.5794172717
219	0.9975274762	0.577108443
220	0.9975545358	0.5739417799
221	0.9975872487	0.5700900571
222	0.9976141525	0.5669026996
223	0.9976348587	0.5644373318
224	0.9976531744	0.562247577
225	0.99767183	0.5600083884
226	0.9976957116	0.5571287887
227	0.9977195881	0.5542348504
228	0.9977272302	0.5533054016
229	0.9977513901	0.550356687
230	0.9977691571	0.5481780998
231	0.9977895573	0.5456658979
232	0.9978143289	0.5425997508
233	0.9978389065	0.5395403916
234	0.9978649835	0.5362753164
235	0.9978805506	0.5343166553
236	0.9978883257	0.5333356952
237	0.9979125017	0.5302739046
238	0.997930297	0.5280088522
239	0.9979469281	0.5258831641
240	0.9979587683	0.5243645662
241	0.9979808656	0.5215185933
242	0.9980034437	0.5185945721
243	0.9980263351	0.515613042
244	0.9980481797	0.5127516897
245	0.9980690887	0.5099978535
246	0.9980958243	0.506454809
247	0.9981171658	0.5036086998
248	0.9981360589	0.5010756237
249	0.9981546624	0.4985688013
250	0.9981721235	0.4962043974
251	0.9981884177	0.4939877961
252	0.9982060288	0.4915808033
253	0.9982142035	0.4904595214
254	0.998232584	0.4879289425
255	0.9982490577	0.4856496714
256	0.9982649273	0.483443839
257	0.9982771194	0.4817422956
258	0.998289668	0.4799847014
259	0.9983004737	0.4784660518
260	0.9983173147	0.4760895348
261	0.998336033	0.4734341104
262	0.9983488559	0.4716063798
263	0.9983650451	0.469288676
264	0.9983806374	0.4670455452
265	0.9983861442	0.4662507507
266	0.9983906442	0.465600269
267	0.9984059041	0.4633875988
268	0.9984187863	0.4615114377
269	0.9984213208	0.46114141
270	0.9984345297	0.4592081625
271	0.9984371792	0.4588193992
272	0.9984402724	0.4583651179
273	0.9984427521	0.4580006115
274	0.9984449639	0.4576752425
275	0.9984592262	0.4555715776
276	0.9984720148	0.4536770016
277	0.9984804875	0.4524174306
278	0.9984984514	0.4497351979
279	0.9985188558	0.4466690526
280	0.9985210878	0.4463323647
281	0.9985332224	0.4444975008
282	0.9985362601	0.4440369876
283	0.9985481842	0.4422246449
284	0.9985635643	0.439876011
285	0.9985782425	0.4376228114
286	0.9985898596	0.4358312468
287	0.9986017203	0.4339944816
288	0.9986184464	0.4313909793
289	0.9986322737	0.4292267596
290	0.9986432714	0.4274975909
291	0.9986574173	0.4252631153
292	0.9986593677	0.4249541023
293	0.9986675366	0.423657436
294	0.9986840485	0.4210242668
295	0.998692442	0.4196794152
296	0.9987054506	0.4175865522
297	0.9987166837	0.4157708464
298	0.9987184486	0.4154848559
299	0.9987293102	0.4137204163
300	0.998737605	0.4123678693
301	0.998749401	0.410436729
302	0.998757368	0.4091272924
303	0.9987682914	0.4073251073
304	0.9987726282	0.4066073833
305	0.9987739414	0.4063898036
306	0.9987804768	0.4053052476
307	0.9987817442	0.4050945792
308	0.9987929957	0.4032195573
309	0.9987998984	0.402064931
310	0.9988010792	0.4018670874
311	0.9988106614	0.4002579284
312	0.9988181991	0.3989875494
313	0.9988273789	0.3974349275
314	0.9988315218	0.3967322448
315	0.9988419453	0.3949587425
316	0.9988521608	0.3932128641
317	0.9988552145	0.3926894539
318	0.9988632514	0.3913086112
319	0.9988669098	0.3906784219
320	0.9988682369	0.3904495711
321	0.9988762626	0.3890627019
322	0.9988815051	0.3881541087
323	0.9988943159	0.3859248253
324	0.9989022336	0.3845405545
325	0.9989058878	0.3839000057
326	0.9989142161	0.3824360974
327	0.9989165454	0.3820256774
328	0.9989267577	0.3802209872
329	0.9989359754	0.3785846672
330	0.9989441223	0.3771325303
331	0.9989483615	0.3763746973
332	0.9989571021	0.3748073345
333	0.9989598314	0.3743165801
334	0.9989607426	0.3741525845
335	0.9989641745	0.3735342932
336	0.9989687448	0.372709332
337	0.9989773676	0.3711478681
338	0.998983589	0.3700171585
339	0.9989844512	0.3698601786
340	0.9989927128	0.368352688
341	0.9989949557	0.3679423574
342	0.9990037835	0.3663228891
343	0.999012963	0.3646312713
344	0.9990220678	0.3629456144
345	0.9990259052	0.3622328173
346	0.9990349142	0.3605538663
347	0.9990424398	0.3591453286
348	0.9990507448	0.357584488
349	0.9990610478	0.3556386382
350	0.9990634516	0.3551831053
351	0.9990682837	0.3542656382
352	0.9990748822	0.3530089335
353	0.9990780658	0.3524010141
354	0.9990848421	0.3511035336
355	0.9990917018	0.3497851803
356	0.9990979266	0.3485845333
357	0.9991070071	0.3468256297
358	0.999112179	0.3458198369
359	0.9991195604	0.344379242
360	0.9991202761	0.3442392518
361	0.9991258992	0.3431373141
362	0.9991265823	0.3430032053
363	0.9991290872	0.3425109955
364	0.9991337741	0.341588136
365	0.9991439028	0.339585173
366	0.9991519512	0.3379851409
367	0.9991563226	0.3371129079
368	0.9991622185	0.3359329186
369	0.9991630205	0.3357720935
370	0.9991675068	0.3348710039
371	0.9991714498	0.3340770101
372	0.9991757841	0.3332020556
373	0.9991803164	0.332284681
374	0.9991852018	0.3312929635
375	0.9991923531	0.3298359275
376	0.9991930306	0.3296975416
377	0.9991988778	0.3285008954
378	0.9992048722	0.3272695817
379	0.9992053571	0.3271697926
380	0.999212225	0.3257528898
381	0.9992162258	0.3249246493
382	0.9992215451	0.3238201883
383	0.999227899	0.3224959319
384	0.999232896	0.3214506529
385	0.9992356743	0.3208680073
386	0.9992428428	0.319359771
387	0.9992459705	0.3186994803
388	0.9992498446	0.3178797093
389	0.9992555498	0.3166685989
390	0.9992596216	0.3158014096
391	0.9992658261	0.3144753759
392	0.9992683149	0.3139419006
393	0.9992737072	0.3127829474
394	0.9992787555	0.3116939995
395	0.9992825831	0.3108658275
396	0.9992835311	0.3106603624
397	0.9992885614	0.3095678871
398	0.9992893513	0.309395977
399	0.9992937339	0.3084404869
400	0.9992942084	0.3083368563
401	0.9993010778	0.3068326682
402	0.9993070172	0.3055261612
403	0.9993116697	0.3044988365
404	0.9993121533	0.3043918548
405	0.9993164999	0.3034285809
406	0.9993171416	0.3032860986
407	0.9993197822	0.3026991366
408	0.9993230145	0.3019790911
409	0.9993235794	0.3018530715
410	0.9993281841	0.3008238879
411	0.999330419	0.3003231055
412	0.999332832	0.2997814824
413	0.9993372307	0.298791586
414	0.9993405107	0.298051336
415	0.9993452351	0.2969818324
416	0.9993502624	0.2958395262
417	0.999355785	0.2945795607
418	0.9993615706	0.2932537815
419	0.9993660418	0.2922250766
420	0.999370001	0.2913111663
421	0.9993742068	0.2903371569
422	0.9993782432	0.2893992774
423	0.9993824311	0.2884229938
424	0.9993854967	0.2877062498
425	0.9993903332	0.2865717991
426	0.9993939311	0.2857249524
427	0.9993991123	0.2845010351
428	0.9994040675	0.2833255443
429	0.9994095639	0.2820159371
430	0.9994130731	0.2811766129
431	0.9994168872	0.2802615126
432	0.9994203124	0.2794371898
433	0.9994236523	0.278631019
434	0.9994255572	0.2781701838
435	0.9994297948	0.2771422606
436	0.9994337708	0.2761743428
437	0.9994370997	0.2753613228
